Country,Code,Overall LPI Score,lower bound score,upper bound score,Overall rank,lower bound rank,upper bound ranks,Highest performer,CustomsScore,CustomsRank,InfrastructureScore,InfrastructureRank,International ShipmentScore,International ShipmentRank,Logistics ServicesScore,Logistics ServicesRank,Ease of TrackingScore,Ease of TrackingRank,TimelinessScore,TimelinessRank
Armenia,ARM,2.52,2.32,2.73,111,82,133,48.9,2.10,125,2.32,92,2.43,123,2.59,79,2.26,139,3.40,77
Bolivia,BOL,2.51,2.37,2.66,112,89,129,48.5,2.26,97,2.24,100,2.53,115,2.38,104,2.38,127,3.20,93
"Gambia, The",GMB,2.49,2.24,2.74,113,79,143,48.0,2.38,77,2.17,110,2.54,113,2.37,106,2.27,137,3.15,101
Turkmenistan,TKM,2.49,2.26,2.72,114,83,140,47.9,2.14,119,2.24,101,2.31,138,2.34,111,2.38,126,3.51,65
Chad,TCD,2.49,2.18,2.80,115,67,147,47.9,2.27,96,2.00,128,2.75,91,2.04,145,2.62,96,3.14,102
"Congo, Rep.",COG,2.48,2.11,2.84,116,60,147,47.4,2.02,137,1.62,151,2.33,132,2.42,101,2.33,131,4.00,27
Ghana,GHA,2.47,2.15,2.79,117,68,147,47.3,2.35,86,2.52,71,2.38,129,2.42,99,2.51,108,2.67,142
Lao PDR,LAO,2.46,2.28,2.64,118,89,138,47.0,2.17,113,1.95,132,2.70,97,2.14,137,2.45,113,3.23,89
Albania,ALB,2.46,2.22,2.70,119,83,145,46.8,2.07,129,2.14,112,2.64,104,2.39,103,2.39,124,3.01,120
Comoros,COM,2.45,2.16,2.73,120,82,147,46.5,1.96,142,1.76,146,2.56,108,2.26,124,2.79,78,3.23,90
Montenegro,MNE,2.43,2.20,2.66,121,88,147,45.9,2.17,112,2.45,74,2.54,114,2.32,113,2.44,117,2.65,145
Gabon,GAB,2.41,2.15,2.68,122,84,147,45.4,2.23,102,2.09,117,2.29,139,2.31,115,2.67,90,2.87,130
Ethiopia,ETH,2.41,2.10,2.73,123,82,149,45.4,2.13,120,1.77,145,2.76,89,2.14,136,2.89,67,2.65,144
Papua New Guinea,PNG,2.41,2.21,2.62,124,92,146,45.3,2.02,138,1.91,135,2.55,111,2.20,131,2.43,118,3.24,87
Maldives,MDV,2.40,2.19,2.62,125,91,147,45.1,2.25,98,2.16,111,2.42,125,2.29,117,2.42,121,2.83,133
Djibouti,DJI,2.39,2.17,2.62,126,91,147,44.8,2.25,100,2.33,91,2.50,116,2.17,133,2.42,123,2.67,143
Liberia,LBR,2.38,2.13,2.64,127,90,147,44.4,2.28,94,2.00,126,2.33,133,2.16,134,2.38,125,3.08,109
Bhutan,BTN,2.38,2.09,2.67,128,87,149,44.3,2.14,118,1.83,141,2.44,120,2.24,127,2.54,105,2.99,122
Cambodia,KHM,2.37,2.15,2.59,129,100,147,44.0,2.28,95,2.12,114,2.19,146,2.29,118,2.50,111,2.84,132
Algeria,DZA,2.36,2.23,2.49,130,116,144,43.7,1.97,141,2.06,122,2.70,98,2.24,129,2.26,138,2.81,136
Tajikistan,TJK,2.35,2.17,2.52,131,112,147,43.2,1.90,147,2.00,127,2.42,127,2.25,125,2.25,141,3.16,98
Libya,LBY,2.33,2.01,2.66,132,88,152,42.8,2.15,116,2.18,107,2.28,140,2.28,121,2.08,143,2.98,124
Myanmar,MMR,2.33,2.09,2.56,133,105,149,42.7,1.94,146,1.92,134,2.37,131,2.01,148,2.36,129,3.29,82
Botswana,BWA,2.32,1.96,2.68,134,85,153,42.3,2.09,126,2.09,119,1.91,152,2.29,119,2.59,99,2.99,123
Solomon Islands,SLB,2.31,2.16,2.46,135,120,147,42.0,2.08,127,2.23,103,2.18,147,2.27,123,2.03,147,3.05,115
Mozambique,MOZ,2.29,1.99,2.60,136,98,152,41.5,1.95,145,2.04,124,2.77,87,2.20,130,2.28,135,2.40,150
Sri Lanka,LKA,2.29,2.02,2.56,137,105,152,41.4,1.96,143,1.88,138,2.48,117,2.09,142,2.23,142,2.98,125
Zambia,ZMB,2.28,1.76,2.81,138,67,153,41.2,2.17,111,1.83,140,2.41,128,2.01,149,2.35,130,2.85,131
Mali,MLI,2.27,1.92,2.62,139,92,153,40.7,2.08,128,2.00,125,2.17,149,2.13,138,2.31,134,2.90,129
Guyana,GUY,2.27,2.10,2.44,140,121,149,40.7,2.02,136,1.99,130,2.31,136,2.25,126,2.28,136,2.70,141
Mongolia,MNG,2.25,2.05,2.45,141,121,150,40.2,1.81,149,1.94,133,2.46,119,2.24,128,2.42,122,2.55,147
Angola,AGO,2.25,2.03,2.46,142,119,151,40.1,1.75,151,1.69,149,2.38,130,2.02,147,2.54,106,3.01,121
Afghanistan,AFG,2.24,2.06,2.42,143,122,150,39.9,2.22,104,1.87,139,2.24,141,2.09,141,2.37,128,2.61,146
Fiji,FJI,2.24,2.00,2.47,144,118,152,39.7,1.95,144,1.98,131,2.48,118,2.11,139,1.96,151,2.82,135
Burkina Faso,BFA,2.23,1.75,2.70,145,83,153,39.4,2.22,105,1.89,137,1.73,153,2.02,146,2.77,81,2.77,138
Sudan,SDN,2.21,1.84,2.57,146,105,153,38.7,2.02,139,1.78,144,2.11,151,2.15,135,2.02,148,3.09,108
Nepal,NPL,2.20,2.01,2.40,147,126,152,38.6,2.07,131,1.80,143,2.21,143,2.07,143,2.26,140,2.74,139
Iraq,IRQ,2.11,1.87,2.34,148,132,153,35.5,2.07,130,1.73,147,2.20,144,2.10,140,1.96,150,2.49,148
Guinea-Bissau,GNB,2.10,1.69,2.52,149,112,154,35.4,1.89,148,1.56,153,2.75,92,1.56,153,1.71,153,2.91,126
Cuba,CUB,2.07,1.84,2.29,150,137,153,34.3,1.79,150,1.90,136,2.32,135,1.88,151,2.03,146,2.41,149
Rwanda,RWA,2.04,1.73,2.34,151,132,153,33.4,1.63,153,1.63,150,2.88,67,1.85,152,1.99,149,2.05,154
Namibia,NAM,2.02,1.63,2.41,152,125,154,32.8,1.68,152,1.71,148,2.20,145,2.04,144,2.04,144,2.38,151
Sierra Leone,SLE,1.97,1.75,2.19,153,148,153,31.2,2.17,110,1.61,152,2.33,134,1.53,154,1.73,152,2.33,152
Eritrea,ERI,1.70,1.34,2.06,154,151,155,22.4,1.50,154,1.35,155,1.63,154,1.88,150,1.55,154,2.21,153
Somalia,SOM,1.34,1.05,1.63,155,155,155,10.9,1.33,155,1.50,154,1.33,155,1.33,155,1.17,155,1.38,155
